issn_queried,source_id,source_name,issn_l,dh_level
1746-8256,https://openalex.org/S10223069,International Journal of Digital Curation,1746-8256,Significantly
1432-1300,https://openalex.org/S110615584,International Journal on Digital Libraries,1432-1300,Significantly
1082-9873,https://openalex.org/S119508283,D-Lib Magazine,1082-9873,Significantly
1755-1706,https://openalex.org/S123953891,International Journal of Humanities and Arts Computing,1753-8548,Exclusively
1937-5034,https://openalex.org/S144865546,Journal of Library Metadata,1937-5034,Significantly
1530-9312,https://openalex.org/S155526855,Computational Linguistics,0891-2017,Significantly
1938-4122,https://openalex.org/S166472302,Digital humanities quarterly,1938-4122,Exclusively
1744-5035,https://openalex.org/S24321443,Journal of Quantitative Linguistics,0929-6174,Significantly
2297-2668,https://openalex.org/S2596149232,Frontiers in Digital Humanities,2297-2668,Exclusively
2055-768X,https://openalex.org/S2734814886,Digital Scholarship in the Humanities,2055-7671,Exclusively
2416-5999,https://openalex.org/S2736708624,Journal of Data Mining & Digital Humanities,2416-5999,Exclusively
2038-1026,https://openalex.org/S2737908387,JLIS it,2038-1026,Significantly
2037-3597,https://openalex.org/S2738441541,Italiano LinguaDue,2037-3597,Significantly
1940-5758,https://openalex.org/S2739261548,code4lib,1940-5758,Significantly
1989-9947,https://openalex.org/S2764429415,Virtual Archaeology Review,1989-9947,Significantly
2035-7362,https://openalex.org/S2764791765,Doctor Virtualis,2035-7362,Significantly
2188-7276,https://openalex.org/S4210171111,Journal of the Japanese Association for Digital Humanities,2188-7276,Exclusively
2628-4995,https://openalex.org/S4210174156,Digital humanities,2628-4995,Exclusively
2532-1803,https://openalex.org/S4210183038,Lingue e culture dei media,2532-1803,Significantly
1556-4711,https://openalex.org/S4210184050,Journal on Computing and Cultural Heritage,1556-4673,Exclusively
2371-4549,https://openalex.org/S4210188927,Journal of Cultural Analytics,2371-4549,Exclusively
2524-7840,https://openalex.org/S4210189756,International Journal of Digital Humanities,2524-7832,Exclusively
1435-5655,https://openalex.org/S4210190517,AI & Society,0951-5666,Significantly
1918-3666,https://openalex.org/S4210195019,Digital Studies / Le champ numérique,1918-3666,Exclusively
2037-2426,https://openalex.org/S4210201467,ENTHYMEMA,2037-2426,Significantly
2531-1786,https://openalex.org/S4210202453,Revista de Humanidades Digitales,2531-1786,Exclusively
2712-8148,https://openalex.org/S4210204849,Journal of Digital Art & Humanities,2712-8148,Exclusively
2724-3923,https://openalex.org/S4210208096,magazén,2724-3923,Exclusively
2736-2337,https://openalex.org/S4210208287,Humanités numériques,2736-2337,Exclusively
2217-9461,https://openalex.org/S4210208489,Infotheca - Journal for Digital Humanities,1450-9687,Exclusively
2162-5603,https://openalex.org/S4210210164,Journal of the Text Encoding Initiative,2162-5603,Exclusively
2059-5824,https://openalex.org/S4210218941,Digital Library Perspectives,2059-5816,Significantly
2630-9696,https://openalex.org/S4210225388,Digitális Bölcsészet,2630-9696,Exclusively
1715-0736,https://openalex.org/S4210240402,Digital Medievalist,1715-0736,Exclusively
1574-0218,https://openalex.org/S4306424877,Language Resources and Evaluation,1574-020X,Significantly
2704-1441,https://openalex.org/S4387997834,Digital Humanities in the Nordic and Baltic Countries Publications,2704-1441,Exclusively
3006-6492,https://openalex.org/S4404668921,Journal of the Digital Humanities Association of Southern Africa,3006-6492,Exclusively
2977-8158,https://openalex.org/S5407040251,Computational Humanities Research,2977-8158,Exclusively
2532-8816,https://openalex.org/S5407052365,Umanistica Digitale,2532-8816,Exclusively
1477-4615,https://openalex.org/S84784070,Literary and Linguistic Computing,0268-1145,Exclusively
1572-8412,https://openalex.org/S93469583,Computers and the Humanities,0010-4817,Exclusively
