id,publication_year,type,countries_str,n_countries
https://openalex.org/W1549518189,2003,book,NA,0
https://openalex.org/W2091636366,2011,article,US,1
https://openalex.org/W54461382,2003,article,NA,0
https://openalex.org/W1979492569,2011,article,US,1
https://openalex.org/W1986750556,2010,article,US,1
https://openalex.org/W2065412713,2011,article,BG;DK,2
https://openalex.org/W2066415719,2011,article,US,1
https://openalex.org/W2159533605,2006,article,FI;US,2
https://openalex.org/W2039092028,2011,article,US,1
https://openalex.org/W2078533580,2009,article,NA,0
https://openalex.org/W2187137633,2012,review,US,1
https://openalex.org/W2116447405,2012,article,US,1
https://openalex.org/W2136466551,2010,article,NA,0
https://openalex.org/W2038692717,2011,review,US,1
https://openalex.org/W1923315123,2001,book,NA,0
https://openalex.org/W2016971174,2005,article,NA,0
https://openalex.org/W2083323278,2003,article,US,1
https://openalex.org/W2167957324,2006,review,GB,1
https://openalex.org/W2188632561,2001,article,US,1
https://openalex.org/W2039497182,2006,book-chapter,US,1
https://openalex.org/W2064278671,2012,article,GB;US,2
https://openalex.org/W1495210209,2010,article,NA,0
https://openalex.org/W2145866092,2009,article,NA,0
https://openalex.org/W2163051478,2013,article,NA,0
https://openalex.org/W2332037986,2012,article,CA;US,2
https://openalex.org/W2017951654,2012,article,US,1
https://openalex.org/W2149449770,2012,article,US,1
https://openalex.org/W1486068850,2011,article,NA,0
https://openalex.org/W852900193,2010,article,NA,0
https://openalex.org/W1508716615,2002,article,US,1
https://openalex.org/W2550897755,2006,article,NA,0
https://openalex.org/W1967665343,2012,article,NA,0
https://openalex.org/W2150859245,2009,article,NA,0
https://openalex.org/W2126529231,2012,article,NA,0
https://openalex.org/W2001331035,2004,article,NA,0
https://openalex.org/W2115883103,2008,article,NA,0
https://openalex.org/W2003863883,2012,review,US,1
https://openalex.org/W808138763,2003,article,NA,0
https://openalex.org/W2116523162,2003,article,US,1
https://openalex.org/W1619274670,1999,article,NA,0
https://openalex.org/W1544640031,2012,article,NA,0
https://openalex.org/W2261786834,2012,article,NA,0
https://openalex.org/W1687157824,2003,other,GB,1
https://openalex.org/W828541650,2005,article,NA,0
https://openalex.org/W2272216432,2005,article,NA,0
https://openalex.org/W1567491469,1996,article,NA,0
https://openalex.org/W1994326726,2005,article,US,1
https://openalex.org/W3125261728,2012,article,US,1
https://openalex.org/W1550064549,2006,article,NA,0
https://openalex.org/W2151589533,2004,article,CA;FI;NL;US,4
https://openalex.org/W2159818719,2008,article,GB,1
https://openalex.org/W2163964223,2009,article,NA,0
https://openalex.org/W1594711060,1997,article,US,1
https://openalex.org/W2072176586,2004,article,NA,0
https://openalex.org/W1971226118,2008,article,GB,1
https://openalex.org/W2964619037,2012,article,NA,0
https://openalex.org/W2087021579,1997,article,US,1
https://openalex.org/W1715553689,1997,article,NA,0
https://openalex.org/W1586423989,2007,book,US,1
https://openalex.org/W2072624637,2006,article,DE,1
https://openalex.org/W2415619352,2007,article,NA,0
https://openalex.org/W2020786137,2003,article,US,1
https://openalex.org/W3015842452,2009,article,NA,0
https://openalex.org/W1588807612,2002,article,US,1
https://openalex.org/W2209038777,2009,article,NA,0
https://openalex.org/W1974967276,2001,article,NA,0
https://openalex.org/W1512710949,2010,article,IT,1
https://openalex.org/W1868376572,1994,article,NA,0
https://openalex.org/W2072301364,2006,review,GB;US,2
https://openalex.org/W320348422,1995,article,NA,0
https://openalex.org/W2097884222,2008,article,GB,1
https://openalex.org/W1504914023,2000,book,NA,0
https://openalex.org/W2042831735,2006,article,NA,0
https://openalex.org/W2083566963,2007,article,NL,1
https://openalex.org/W2004292156,2004,article,GB,1
https://openalex.org/W1516362631,2006,article,NA,0
https://openalex.org/W2051577068,1995,article,NA,0
https://openalex.org/W2107765379,2006,article,GB,1
https://openalex.org/W2049719779,1993,article,NL,1
https://openalex.org/W861594400,2006,article,NA,0
https://openalex.org/W1689689566,2009,article,NA,0
https://openalex.org/W2003291635,2002,review,US,1
https://openalex.org/W1525296524,1997,article,NA,0
https://openalex.org/W1979968184,2001,article,NA,0
https://openalex.org/W2069469421,2005,article,NA,0
https://openalex.org/W2074809189,1997,article,US,1
https://openalex.org/W1596373330,2003,article,NA,0
https://openalex.org/W1552752045,2009,article,NA,0
https://openalex.org/W2162817803,2006,article,DE,1
https://openalex.org/W1516521244,2009,article,NA,0
https://openalex.org/W1660335203,2009,article,NA,0
https://openalex.org/W1974161756,2000,article,GB,1
https://openalex.org/W2128150407,2005,dissertation,NA,0
https://openalex.org/W2013113852,2003,article,GB,1
https://openalex.org/W2058947940,2002,article,CA;US,2
https://openalex.org/W2302501749,2016,article,BE;BR;CH;CN;DE;ES;GB;NL;SE;US,10
https://openalex.org/W2015191210,2009,article,DE;US,2
https://openalex.org/W2570760970,2017,article,GB;NL;US,3
https://openalex.org/W2111855688,2003,book,NA,0
https://openalex.org/W2137407683,1973,article,NA,0
https://openalex.org/W2139977214,2007,article,US,1
https://openalex.org/W2045657963,2013,article,US,1
https://openalex.org/W2167541073,2009,article,GB;US,2
https://openalex.org/W2121010683,2009,book-chapter,GB,1
https://openalex.org/W2133559194,2015,article,US,1
https://openalex.org/W2035168235,2005,review,US,1
https://openalex.org/W1857123336,2015,article,AU;CH;GB,3
https://openalex.org/W2141875081,2011,article,US,1
https://openalex.org/W1549180700,2004,article,US,1
https://openalex.org/W2116110543,2010,article,NA,0
https://openalex.org/W2074830918,2014,article,AT;BE;DE;FR;GB;NL;PL;US,8
https://openalex.org/W2119081965,2010,book,GB,1
https://openalex.org/W2077734359,2008,article,NA,0
https://openalex.org/W2913520302,2006,book,NA,0
https://openalex.org/W2126602876,2012,article,US,1
https://openalex.org/W2308634414,2016,article,US,1
https://openalex.org/W2293938906,2008,article,BE;GB;US,3
https://openalex.org/W2011397895,2013,article,US,1
https://openalex.org/W2151637286,2008,article,US,1
https://openalex.org/W2144858034,2012,article,NA,0
https://openalex.org/W2790470452,2009,article,NA,0
https://openalex.org/W2133714788,2007,book-chapter,US,1
https://openalex.org/W1539911810,2010,article,NA,0
https://openalex.org/W1997466122,2002,article,NA,0
https://openalex.org/W2108486354,2011,article,US,1
https://openalex.org/W1997431089,2012,article,NA,0
https://openalex.org/W2130566090,2012,article,US,1
https://openalex.org/W1570298723,2013,article,US,1
https://openalex.org/W2061818973,1976,article,NA,0
https://openalex.org/W2007805290,2013,article,US,1
https://openalex.org/W2478093897,2005,book,AT;TH;US,3
https://openalex.org/W2035273791,1988,article,NA,0
https://openalex.org/W1964571129,2009,article,NA,0
https://openalex.org/W2034414916,2012,article,US,1
https://openalex.org/W2027106836,2008,article,NA,0
https://openalex.org/W2108715955,2007,article,US,1
https://openalex.org/W2343356603,2016,preprint,BD;GB,2
https://openalex.org/W2149668773,2003,article,US,1
