citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
US,9646,1101,5805,3683,0.6018038565208377,0.3818162969106365,109,2.570268290157388,0.19555363057918024,0.2902473572546376,0.3115564992662001,0.09156893965599894,2.0734171784133344,1.315485868750441,TRUE,48.582279158565285,0
GB,8111,662,3118,1495,0.3844162248797929,0.1843175933916903,104,2.818113561665434,0.13165169598518645,0.11530349046508608,0.2691127344147068,0.06901410292660422,3.333951325577557,1.5985430505896239,TRUE,48.5575221749849,0
CN,6449,392,1906,1077,0.29554969762753913,0.16700263606760737,106,3.060394794470169,0.09792319060078583,0.04003859738106873,0.2555111002464704,0.12696403868653866,7.381619661014463,4.171041120101037,TRUE,83.91157877688018,0
DE,6146,559,1954,850,0.31793036121054347,0.1383013342011064,99,2.847739727401817,0.1172892579831039,0.060098101676883016,0.25783225953366046,0.0782032325242234,5.290189745424799,2.3012596129022924,TRUE,59.86064603243054,0
IT,5884,349,1795,920,0.3050645819170632,0.15635622025832766,101,2.975390270007144,0.09725000694516536,0.040935491652697796,0.26412909026436543,0.11542072860562985,7.4523248555378805,3.8195759705263788,TRUE,74.14745477825792,0
FR,3294,292,1170,522,0.3551912568306011,0.15846994535519127,96,2.9949268747226787,0.0976281130834548,0.03328405569404153,0.3219072011365596,0.12518588966114974,10.671513715024428,4.761136888241667,TRUE,78.35734034568098,0
ES,3185,265,907,404,0.2847723704866562,0.12684458398744114,90,3.0199845206342726,0.09290803372324222,0.028855253635514538,0.25591711685114166,0.0979893303519266,9.868995576464572,4.395892186209137,TRUE,71.14896507666617,0
NL,3172,252,951,325,0.2998108448928121,0.10245901639344263,87,2.8717422841338256,0.11132355243807564,0.03509640067050579,0.26471444422230633,0.06736261572293684,8.542495502815656,2.919359661845519,TRUE,64.65802615095006,0
CA,2611,310,738,323,0.2826503255457679,0.12370739180390655,78,2.616293582666825,0.1594237039122732,0.03827573622648745,0.24437458931928047,0.08543165557741911,7.384582333655261,3.2320055471147007,TRUE,53.95728107569007,0
CH,2512,157,573,219,0.22810509554140126,0.08718152866242038,79,2.907112611148968,0.10961445073227322,0.016038943767821907,0.21206615177357935,0.07114258489459847,14.221952445461937,5.435615332558751,TRUE,60.63658728038147,0
GR,2091,101,455,297,0.21759923481587756,0.14203730272596843,76,3.0133229264689914,0.08910449522191516,0.009488522846062015,0.20811071196981554,0.1325487798799064,22.932888326889252,14.9693798529365,TRUE,56.61634937678236,0
AU,1775,145,509,159,0.28676056338028166,0.0895774647887324,72,2.9056867998827918,0.11825759551536519,0.031477896195312646,0.255282667184969,0.05809956859341975,9.109902440779477,2.8457259097916245,TRUE,53.56918801546837,0
FI,1489,144,459,236,0.3082605775688381,0.1584956346541303,70,2.7670992871105633,0.11607383078911401,0.009872022465655135,0.29838855510318296,0.14862361218847517,31.225676262516597,16.055031803821173,TRUE,87.98885544997052,0
