citing_year,n_citations,scr_any,scr_majority
2007,1818,0.4240924092409241,0.32838283828382836
2008,1759,0.41102899374644686,0.2870949403069926
2009,2783,0.38735177865612647,0.25799496945742006
2010,3447,0.374528575572962,0.23295619379170293
2011,3554,0.38688801350590885,0.20512099043331458
2012,5674,0.36993302784631654,0.2830454705675009
2013,5527,0.34213859236475486,0.24009408358965081
2014,8711,0.32832051429227416,0.24612558833658593
2015,6521,0.3246434595920871,0.2257322496549609
2016,8957,0.33236574746008707,0.20040192028580997
2017,8352,0.3204022988505747,0.2152777777777778
2018,10876,0.31978668628172124,0.21984185362265538
2019,8410,0.3009512485136742,0.2089179548156956
2020,14180,0.2720733427362482,0.18201692524682653
2021,15706,0.2800840443142748,0.18718960906659876
2022,17480,0.2542906178489702,0.17963386727688788
2023,18168,0.26227432848965215,0.18180317040951122
2024,20899,0.27685535193071437,0.17728120962725488
2025,28458,0.2422868789092698,0.15883055731253073
