citing_year,n_citations,scr_any,scr_majority
2007,419,0.39618138424821003,0.26252983293556087
2008,433,0.3903002309468822,0.20554272517321015
2009,323,0.47987616099071206,0.23839009287925697
2010,359,0.2618384401114206,0.19220055710306408
2011,611,0.36006546644844517,0.18494271685761046
2012,848,0.30660377358490565,0.23702830188679244
2013,1203,0.3175394846217789,0.2601828761429759
2014,1830,0.2639344262295082,0.19289617486338798
2015,2673,0.29143284698840255,0.22820800598578375
2016,2096,0.28530534351145037,0.20896946564885496
2017,2946,0.3004073319755601,0.21622539035980992
2018,3872,0.27634297520661155,0.20170454545454544
2019,4669,0.29599485971300066,0.2111801242236025
2020,4392,0.29508196721311475,0.1826047358834244
2021,5832,0.2767489711934156,0.17318244170096023
2022,6426,0.24245253657018362,0.16946778711484595
2023,6766,0.26987880579367424,0.19642329293526456
2024,6455,0.26584043377226957,0.17753679318357862
2025,6502,0.2840664410950477,0.17640725930482928
