citing_year,n_citations,scr_any,scr_majority
2007,416,0.3942307692307692,0.25961538461538464
2008,430,0.3930232558139535,0.2069767441860465
2009,278,0.4568345323741007,0.17625899280575538
2010,322,0.2360248447204969,0.17080745341614906
2011,515,0.3650485436893204,0.16116504854368932
2012,616,0.30357142857142855,0.237012987012987
2013,935,0.25989304812834224,0.21176470588235294
2014,1443,0.2494802494802495,0.1774081774081774
2015,1969,0.26358557643473846,0.20010157440325038
2016,1387,0.2732516222062004,0.18529199711607786
2017,2225,0.27640449438202247,0.18471910112359552
2018,2845,0.24639718804920913,0.17082601054481547
2019,3521,0.2854302754899176,0.20022720817949446
2020,2821,0.28429634881247784,0.17546969159872386
2021,4351,0.286830613652034,0.17674097908526776
2022,5196,0.24172440338722093,0.17321016166281755
2023,5362,0.2756434166355837,0.20179037672510258
2024,5317,0.2713936430317848,0.1824337032160993
2025,5609,0.2927438045997504,0.17525405598145838
