citing_country,citing_year,n_citations,scr_any,scr_majority,expected_scr,excess_scr_any
AU,2007,51,0.09803921568627451,0.09803921568627451,0.031477896195312646,0.06656131949096186
AU,2008,3,0,0,0.031477896195312646,-0.031477896195312646
AU,2009,268,0.40298507462686567,0.055970149253731345,0.031477896195312646,0.371507178431553
AU,2010,46,0.30434782608695654,0.15217391304347827,0.031477896195312646,0.2728699298916439
AU,2011,117,0.18803418803418803,0.09401709401709402,0.031477896195312646,0.15655629183887537
AU,2012,88,0.4090909090909091,0.07954545454545454,0.031477896195312646,0.37761301289559646
AU,2013,178,0.1853932584269663,0.16853932584269662,0.031477896195312646,0.15391536223165364
AU,2014,242,0.10330578512396695,0.0743801652892562,0.031477896195312646,0.0718278889286543
AU,2015,133,0.21804511278195488,0.11278195488721804,0.031477896195312646,0.18656721658664221
AU,2016,120,0.475,0.11666666666666667,0.031477896195312646,0.4435221038046873
AU,2017,404,0.1782178217821782,0.11386138613861387,0.031477896195312646,0.14673992558686555
AU,2018,263,0.2585551330798479,0.026615969581749048,0.031477896195312646,0.22707723688453524
AU,2019,290,0.2655172413793103,0.0896551724137931,0.031477896195312646,0.23403934518399766
AU,2020,481,0.22453222453222454,0.07276507276507277,0.031477896195312646,0.19305432833691188
AU,2021,502,0.34063745019920316,0.10756972111553785,0.031477896195312646,0.3091595540038905
AU,2022,637,0.22919937205651492,0.10204081632653061,0.031477896195312646,0.19772147586120226
AU,2023,450,0.21777777777777776,0.08222222222222222,0.031477896195312646,0.18629988158246513
AU,2024,549,0.21129326047358835,0.08378870673952642,0.031477896195312646,0.1798153642782757
AU,2025,1234,0.16774716369529985,0.10453808752025932,0.031477896195312646,0.1362692674999872
BE,2007,88,0.5909090909090909,0.03409090909090909,0.01138127903308612,0.5795278118760048
BE,2008,47,0.574468085106383,0.2553191489361702,0.01138127903308612,0.5630868060732969
BE,2009,34,0.23529411764705882,0.058823529411764705,0.01138127903308612,0.2239128386139727
BE,2010,67,0.208955223880597,0.13432835820895522,0.01138127903308612,0.1975739448475109
BE,2011,51,0.5490196078431373,0.27450980392156865,0.01138127903308612,0.5376383288100511
BE,2012,164,0.18292682926829268,0.036585365853658534,0.01138127903308612,0.17154555023520657
BE,2013,262,0.29389312977099236,0.0648854961832061,0.01138127903308612,0.28251185073790624
BE,2014,152,0.17105263157894737,0.05263157894736842,0.01138127903308612,0.15967135254586126
BE,2015,138,0.10869565217391304,0.057971014492753624,0.01138127903308612,0.09731437314082692
BE,2016,196,0.2755102040816326,0.12755102040816327,0.01138127903308612,0.2641289250485465
BE,2017,159,0.23270440251572327,0.05660377358490566,0.01138127903308612,0.22132312348263716
BE,2018,141,0.18439716312056736,0.11347517730496454,0.01138127903308612,0.17301588408748125
BE,2019,136,0.3088235294117647,0.058823529411764705,0.01138127903308612,0.2974422503786786
BE,2020,215,0.17674418604651163,0.06976744186046512,0.01138127903308612,0.16536290701342551
BE,2021,475,0.19157894736842104,0.08,0.01138127903308612,0.18019766833533493
BE,2022,259,0.17374517374517376,0.04247104247104247,0.01138127903308612,0.16236389471208765
BE,2023,401,0.20947630922693267,0.059850374064837904,0.01138127903308612,0.19809503019384656
BE,2024,366,0.15846994535519127,0.03551912568306011,0.01138127903308612,0.14708866632210515
BE,2025,587,0.25383304940374785,0.04088586030664395,0.01138127903308612,0.24245177037066173
CA,2007,48,0.22916666666666666,0.22916666666666666,0.03827573622648745,0.1908909304401792
CA,2008,12,0.08333333333333333,0.08333333333333333,0.03827573622648745,0.04505759710684588
CA,2009,117,0.5299145299145299,0.07692307692307693,0.03827573622648745,0.4916387936880425
CA,2010,316,0.5158227848101266,0.09177215189873418,0.03827573622648745,0.4775470485836391
CA,2011,246,0.3130081300813008,0.07317073170731707,0.03827573622648745,0.27473239385481335
CA,2012,179,0.27932960893854747,0.07262569832402235,0.03827573622648745,0.24105387271206002
CA,2013,127,0.25196850393700787,0.1968503937007874,0.03827573622648745,0.21369276771052043
CA,2014,296,0.19932432432432431,0.02702702702702703,0.03827573622648745,0.16104858809783687
CA,2015,396,0.2297979797979798,0.11363636363636363,0.03827573622648745,0.19152224357149236
CA,2016,727,0.3081155433287483,0.052269601100412656,0.03827573622648745,0.26983980710226085
CA,2017,343,0.2536443148688047,0.11370262390670553,0.03827573622648745,0.21536857864231723
CA,2018,465,0.37849462365591396,0.0967741935483871,0.03827573622648745,0.3402188874294265
CA,2019,309,0.21035598705501618,0.1488673139158576,0.03827573622648745,0.17208025082852874
CA,2020,608,0.27631578947368424,0.10855263157894737,0.03827573622648745,0.2380400532471968
CA,2021,723,0.3333333333333333,0.0912863070539419,0.03827573622648745,0.29505759710684587
CA,2022,789,0.2674271229404309,0.11026615969581749,0.03827573622648745,0.22915138671394347
CA,2023,757,0.15852047556142668,0.12417437252311757,0.03827573622648745,0.12024473933493923
CA,2024,940,0.30638297872340425,0.08191489361702127,0.03827573622648745,0.2681072424969168
CA,2025,874,0.2391304347826087,0.06750572082379863,0.03827573622648745,0.20085469855612126
CH,2007,29,0.9310344827586207,0.06896551724137931,0.016038943767821907,0.9149955389907988
CH,2008,66,0.30303030303030304,0.030303030303030304,0.016038943767821907,0.28699135926248115
CH,2010,64,0.171875,0.171875,0.016038943767821907,0.15583605623217808
CH,2011,14,0.35714285714285715,0.07142857142857142,0.016038943767821907,0.34110391337503526
CH,2012,55,0.18181818181818182,0.03636363636363636,0.016038943767821907,0.1657792380503599
CH,2013,260,0.3076923076923077,0.06153846153846154,0.016038943767821907,0.2916533639244858
CH,2014,110,0.3090909090909091,0.045454545454545456,0.016038943767821907,0.2930519653230872
CH,2015,108,0.1388888888888889,0.12037037037037036,0.016038943767821907,0.12284994512106699
CH,2016,260,0.2923076923076923,0.08846153846153847,0.016038943767821907,0.27626874853987043
CH,2017,505,0.25742574257425743,0.09108910891089109,0.016038943767821907,0.24138679880643552
CH,2018,231,0.20346320346320346,0.07792207792207792,0.016038943767821907,0.18742425969538154
CH,2019,305,0.26885245901639343,0.05573770491803279,0.016038943767821907,0.25281351524857154
CH,2020,446,0.23766816143497757,0.09417040358744394,0.016038943767821907,0.22162921766715565
CH,2021,459,0.32461873638344224,0.061002178649237473,0.016038943767821907,0.30857979261562035
CH,2022,370,0.25675675675675674,0.07297297297297298,0.016038943767821907,0.24071781298893483
CH,2023,474,0.1877637130801688,0.052742616033755275,0.016038943767821907,0.17172476931234687
CH,2024,788,0.2131979695431472,0.06345177664974619,0.016038943767821907,0.1971590257753253
CH,2025,753,0.3930942895086321,0.041168658698539175,0.016038943767821907,0.37705534574081023
CN,2007,17,0.17647058823529413,0,0.04003859738106873,0.13643199085422542
CN,2008,49,0.22448979591836735,0.04081632653061224,0.04003859738106873,0.18445119853729863
CN,2009,39,0.5897435897435898,0.05128205128205128,0.04003859738106873,0.549704992362521
CN,2010,71,0.18309859154929578,0.028169014084507043,0.04003859738106873,0.14305999416822707
CN,2011,155,0.3419354838709677,0.1870967741935484,0.04003859738106873,0.301896886489899
CN,2012,131,0.1984732824427481,0.09923664122137404,0.04003859738106873,0.15843468506167935
CN,2013,86,0.12790697674418605,0.12790697674418605,0.04003859738106873,0.08786837936311732
CN,2014,260,0.21153846153846154,0.1076923076923077,0.04003859738106873,0.17149986415739282
CN,2015,202,0.5297029702970297,0.0594059405940594,0.04003859738106873,0.489664372915961
CN,2016,387,0.19638242894056848,0.12403100775193798,0.04003859738106873,0.15634383155949977
CN,2017,420,0.3738095238095238,0.1523809523809524,0.04003859738106873,0.3337709264284551
CN,2018,507,0.2682445759368836,0.10848126232741617,0.04003859738106873,0.22820597855581487
CN,2019,565,0.24778761061946902,0.13805309734513274,0.04003859738106873,0.20774901323840028
CN,2020,654,0.27370030581039756,0.14067278287461774,0.04003859738106873,0.23366170842932882
CN,2021,851,0.33137485311398357,0.15393654524089306,0.04003859738106873,0.29133625573291483
CN,2022,966,0.2898550724637681,0.18426501035196688,0.04003859738106873,0.24981647508269939
CN,2023,1106,0.24773960216998192,0.16726943942133815,0.04003859738106873,0.20770100478891318
CN,2024,2112,0.3006628787878788,0.1728219696969697,0.04003859738106873,0.26062428140681004
CN,2025,3745,0.29826435246995997,0.1465954606141522,0.04003859738106873,0.25822575508889123
DE,2007,108,0.46296296296296297,0.12962962962962962,0.060098101676883016,0.40286486128607996
DE,2008,215,0.386046511627907,0.09767441860465116,0.060098101676883016,0.325948409951024
DE,2009,356,0.3539325842696629,0.06741573033707865,0.060098101676883016,0.2938344825927799
DE,2010,366,0.3633879781420765,0.15027322404371585,0.060098101676883016,0.3032898764651935
DE,2011,591,0.21489001692047377,0.10152284263959391,0.060098101676883016,0.15479191524359076
DE,2012,826,0.2506053268765133,0.17070217917675545,0.060098101676883016,0.19050722519963031
DE,2013,459,0.355119825708061,0.10021786492374728,0.060098101676883016,0.295021724031178
DE,2014,1029,0.34110787172011664,0.19047619047619047,0.060098101676883016,0.28100977004323363
DE,2015,1077,0.22191272051996286,0.07892293407613742,0.060098101676883016,0.16181461884307985
DE,2016,921,0.26167209554831705,0.14223669923995658,0.060098101676883016,0.20157399387143404
DE,2017,1050,0.26285714285714284,0.12476190476190477,0.060098101676883016,0.20275904118025984
DE,2018,1716,0.2937062937062937,0.16258741258741258,0.060098101676883016,0.2336081920294107
DE,2019,810,0.27530864197530863,0.10617283950617284,0.060098101676883016,0.21521054029842562
DE,2020,1388,0.2737752161383285,0.12103746397694524,0.060098101676883016,0.2136771144614455
DE,2021,1524,0.2874015748031496,0.11351706036745407,0.060098101676883016,0.2273034731262666
