citing_country,AE,AF,AR,AT,AU,BD,BE,BG,BH,BI,BO,BR,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KR,KZ,LB,LU,LV,MA,MM,MO,MT,MX,MY,NA,NE,NG,NL,NO,NZ,PH,PK,PL,PS,PT,PY,QA,RO,RU,SA,SE,SG,SI,SK,SV,TJ,TN,TR,TW,UA,UG,US,UZ,ZA,ZM,AM,CR,CU,GH,PE,TT,UY,BA,BY,ET,GM,GN,LT,MC,MG,ML,MN,MW,NC,NP,OM,PG,RS,SL,SS,TH,VN,AG,BW,CM,DO,KG,KH,KW,LC,LK,MK,MU,RW,SN,SY,TZ,YE,ZW,AZ,GE,JM,LS,BN,HN,LI,PR,VE,AL,BJ,MV,PA,RE,SO,BB,BM,FJ,GP,MD,ME,VA,GU,FK,KY,MZ,SZ,XK,BS,NI,BF,GT,CG,CI,SM,TD,VI,PF,TG,GA,GF,GL,MR,MS,VG,SD,LY,KP,GI,MQ,CD,KN,ST,BT,DM
AE,83,1,4,17,45,2,22,3,8,2,1,4,47,43,5,63,3,1,14,99,16,2,1,1,5,37,19,59,191,9,6,1,6,8,20,29,21,2,5,1,43,2,59,1,19,1,10,2,1,15,1,1,1,7,16,1,1,2,70,15,19,1,4,9,7,11,1,43,2,7,18,20,26,1,3,1,1,12,5,10,2,1,592,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2,0,82,9,11,0,8,0,0,0,1,3,27,16,9,12,3,0,4,23,3,0,0,1,1,40,3,33,82,3,1,1,0,0,6,6,3,0,0,0,19,0,4,1,2,0,0,1,0,0,0,0,0,18,1,0,0,1,20,5,4,0,0,1,1,4,0,0,0,1,1,14,3,0,0,0,0,0,0,1,0,0,213,0,5,0,0,1,1,1,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,8,1,5,330,121,5,96,5,0,0,0,31,157,129,8,105,1,4,25,452,41,4,4,11,7,127,72,186,569,55,21,8,18,10,63,50,49,0,11,4,173,1,57,3,31,0,0,9,2,4,0,0,2,12,15,0,0,3,246,41,27,0,11,26,0,33,0,6,8,12,8,119,28,13,6,0,0,1,13,13,3,1,1208,0,18,0,0,0,1,3,2,0,0,2,1,4,2,1,4,1,1,2,1,1,1,2,1,1,3,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,21,0,9,86,770,11,83,6,2,0,1,65,381,118,17,255,13,12,34,445,77,0,3,11,11,173,75,207,1132,79,75,2,16,5,96,87,68,2,39,3,247,10,114,3,49,2,3,9,5,7,0,4,3,27,31,4,0,6,322,66,97,4,20,28,0,43,0,17,11,35,27,140,66,11,5,0,0,4,27,46,0,0,2634,1,45,0,1,2,1,3,1,1,1,4,1,2,0,0,5,1,0,0,0,1,0,0,2,0,5,0,5,10,8,1,1,1,1,1,2,2,1,3,2,1,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,0,0,0,0,1,1,1,0,0,0,0,0,4,3,0,1,0,1,3,9,3,0,0,0,0,3,2,2,9,2,0,1,0,0,1,0,0,1,1,0,9,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,6,0,1,9,45,70,3,3,2,0,0,5,23,3,3,29,2,2,3,24,5,2,0,1,1,14,8,37,64,4,4,2,3,9,2,6,30,0,4,0,9,2,11,1,7,2,1,0,1,0,0,1,2,6,14,0,0,14,7,3,4,0,22,2,0,5,1,0,4,3,8,5,11,1,0,0,0,0,4,12,0,0,220,0,14,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,3,4,0,3,0,0,0,0,4,0,1,1,0,0,0,0,3,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,8,0,6,57,144,2,374,2,1,0,1,36,233,112,9,122,2,6,38,378,47,2,6,6,8,113,59,216,667,60,20,8,21,5,63,68,34,0,5,5,199,5,53,12,28,0,1,12,2,5,0,1,3,19,13,0,0,0,303,44,29,4,7,25,2,21,0,11,5,33,6,89,31,19,4,0,1,4,27,18,0,0,1718,0,27,0,0,3,0,1,1,1,0,2,0,0,0,0,3,0,0,0,1,0,0,2,0,0,5,0,3,6,2,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
