citing_country,AE,AF,AR,AT,AU,BD,BE,BH,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,QA,RO,RU,SA,SE,SG,TJ,TN,TW,US,ZA,CR,EE,BY,CY,DZ,EC,HR,LT,LV,MA,MC,ML,MN,PE,SI,SK,TR,UA,BA,GH,IR,KH,KW,LK,OM,RS,UY,UZ,VN,ZW,AZ,BG,BN,KE,MK,NP,NG,TH,BO,VE,SO,GP,IQ,MD,ME,PR,SS,TZ,BI,CU,DO,GU,SY,CM,ET,FJ,FK,GE,KY,KZ,LI,MZ,NA,PG,RW,TT,XK,YE,MU,BS,AM,KG,UG,CG,SL,MM,SM,VI,PF,TG,GT,JM,MR,PA,ZM,VA,MS,LY,VG,KP,PY,MQ,AL,SD,SN,RE,BW,BM,BB
AE,15,1,2,10,9,1,12,2,3,15,20,2,9,1,3,38,9,2,9,7,26,49,4,1,3,3,5,3,2,1,14,1,5,3,2,2,1,1,4,3,16,3,2,1,3,1,1,2,5,1,1,7,6,1,1,9,1,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,1,0,16,5,4,0,4,0,1,4,4,1,1,2,2,11,2,0,4,1,5,15,1,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0,4,1,5,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,3,0,3,119,32,1,49,0,10,47,46,3,40,1,4,164,15,2,49,25,85,179,34,11,9,8,18,20,11,1,55,0,23,11,0,3,0,0,3,3,67,6,9,0,2,5,0,10,2,3,1,0,39,6,0,0,4,355,4,0,3,1,2,1,1,3,1,1,1,1,2,1,1,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,1,0,2,20,153,1,20,0,13,78,27,2,86,1,7,82,14,1,36,19,54,239,34,34,5,2,21,19,9,2,74,3,16,18,0,2,0,0,5,6,49,14,19,0,7,10,0,12,1,2,11,4,23,11,0,0,15,493,18,0,3,0,4,0,0,0,1,1,0,0,0,0,0,3,2,4,0,2,1,26,2,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,3,2,0,2,0,0,6,2,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,0,0,0,4,4,0,2,0,0,4,2,0,4,0,0,7,0,0,2,1,34,7,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,2,0,1,17,51,0,136,1,11,87,35,4,36,1,3,123,10,4,26,25,98,188,29,5,5,1,12,17,9,2,46,2,10,10,0,6,0,1,8,5,94,12,8,1,1,13,0,3,1,3,8,3,15,8,1,2,7,425,8,2,1,0,0,2,3,3,0,0,2,0,0,1,0,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,0,0,0,1,0,0,2,0,0,1,1,1,11,0,0,1,0,0,1,0,1,4,7,0,1,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,1,0,1,3,11,0,8,0,63,10,4,0,11,0,3,17,3,0,37,3,18,37,4,1,2,0,10,3,4,0,40,1,5,5,0,0,0,1,0,0,11,2,0,0,2,1,0,6,1,1,4,1,4,2,0,0,5,78,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
