citing_country,n_years,slope,r_squared,p_value
CH,17,-0.013350129323800782,0.14333311724086084,0.13399808483616446
DE,19,-0.010626849767164026,0.14533948524875978,0.10729937679161214
US,19,-0.009914817184682402,0.6843345606195979,1.2476783622972486e-5
ES,19,-0.006639489494791907,0.030473592409527128,0.4747457715918726
GB,19,-0.005462457000708498,0.1299602556504957,0.12946327267421273
CA,18,-0.0047013168737209555,0.03053301768399424,0.48800280116011485
NL,18,-0.0036893958095327623,0.023678225115725433,0.5421094510104477
GR,18,-0.00332327985120076,0.032186837403881,0.4762625430719595
IT,19,-0.0033144948337653257,0.02278836143233835,0.5373064285884837
AT,18,-0.0014310533161043392,0.0020118581495214894,0.8597247172326454
AU,18,0.0010751828419125636,0.0010288193766204248,0.8994582852144857
BE,17,0.0013304896876394439,0.0018956753429256695,0.8682189677198052
CN,18,0.0027703573626203975,0.029340957011785677,0.49675286869905966
FR,19,0.009646361739678222,0.15886335662822956,0.09097301280319992
FI,18,0.011608813131001573,0.14448908730735663,0.1197076054623379
