citing_year,n_total_authors,n_bridge_scholars,pct_bridge
2007,453,132,0.2913907284768212
2008,598,175,0.29264214046822745
2009,462,146,0.31601731601731603
2010,870,258,0.296551724137931
2011,594,175,0.2946127946127946
2012,1215,409,0.3366255144032922
2013,936,252,0.2692307692307692
2014,1814,490,0.2701212789415656
2015,1099,300,0.272975432211101
2016,2101,653,0.3108043788672061
2017,1474,367,0.24898236092265943
2018,2374,590,0.2485256950294861
2019,1398,326,0.23319027181688126
2020,3010,586,0.1946843853820598
2021,2118,441,0.20821529745042494
2022,2580,408,0.15813953488372093
2023,2749,462,0.16806111313204802
2024,2895,422,0.1457685664939551
2025,3458,353,0.10208212839791787
