citing_year,n_total_authors,n_bridge_scholars,pct_bridge
2007,196,26,0.1326530612244898
2008,84,25,0.2976190476190476
2009,113,25,0.22123893805309736
2010,104,32,0.3076923076923077
2011,195,49,0.2512820512820513
2012,223,49,0.21973094170403587
2013,347,69,0.1988472622478386
2014,428,80,0.18691588785046728
2015,573,104,0.18150087260034903
2016,563,134,0.23801065719360567
2017,778,152,0.1953727506426735
2018,890,161,0.18089887640449437
2019,922,185,0.20065075921908893
2020,1003,169,0.16849451645064806
2021,1269,243,0.19148936170212766
2022,1315,192,0.14600760456273765
2023,1426,212,0.14866760168302945
2024,1356,194,0.1430678466076696
2025,1325,141,0.10641509433962264
