citing_year,n_total_authors,n_bridge_scholars,pct_bridge
2007,193,24,0.12435233160621761
2008,80,20,0.25
2009,93,19,0.20430107526881722
2010,67,18,0.26865671641791045
2011,134,30,0.22388059701492538
2012,134,24,0.1791044776119403
2013,222,41,0.18468468468468469
2014,235,36,0.15319148936170213
2015,307,49,0.15960912052117263
2016,246,44,0.17886178861788618
2017,433,72,0.16628175519630484
2018,433,73,0.16859122401847576
2019,489,86,0.17586912065439672
2020,537,81,0.15083798882681565
2021,785,119,0.15159235668789808
2022,834,102,0.1223021582733813
2023,857,110,0.12835472578763127
2024,876,101,0.11529680365296803
2025,911,89,0.09769484083424808
