citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj
US,16190,1275,9870,6681,0.6096355775169858,0.41266213712168004,125,2.5319608760958014,0.20999502812317286,0.2760545130087862,0.33358106450819963,0.13660762411289384
GB,11428,707,4514,2121,0.3949947497374869,0.18559677983899195,118,2.8356884905007655,0.1307357494464917,0.11849418611259505,0.27650056362489184,0.0671025937263969
DE,9681,621,3303,1630,0.341183762008057,0.16837103604999484,113,2.896700856017445,0.11216139945332805,0.06319689926005069,0.2779868627480063,0.10517413678994415
CN,8416,428,2580,1502,0.30655893536121676,0.17846958174904942,120,3.1052039929990496,0.09616056255811059,0.04501074119960445,0.2615481941616123,0.13345884054944496
IT,7150,368,2211,1151,0.30923076923076925,0.16097902097902098,112,2.975421578281886,0.0982055695517529,0.04046420168449289,0.26876656754627637,0.12051481929452809
NL,4895,264,1537,547,0.3139938712972421,0.11174668028600612,97,2.868610276227259,0.11421244207498268,0.03190534104729538,0.28208853024994673,0.07984133923871074
ES,4374,286,1260,602,0.2880658436213992,0.13763145861911294,104,3.0323078889625026,0.09270998408608469,0.028609099898839495,0.2594567437225597,0.10902235872027344
FR,4031,271,1393,532,0.3455718184073431,0.1319771768791863,101,2.9830434307472475,0.1002522608900494,0.03601995930847134,0.30955185909887173,0.09595721757071496
CA,4010,339,1176,525,0.2932668329177057,0.13092269326683292,89,2.5698441283769875,0.1718657500412457,0.041589470214483004,0.2516773627032227,0.08933322305234992
CH,3131,166,784,252,0.25039923347173426,0.08048546790162887,85,2.9514345239460784,0.10303202178552276,0.01656077018379386,0.2338384632879404,0.06392469771783502
AU,2780,163,798,276,0.2870503597122302,0.09928057553956834,80,2.865990820687916,0.12549295241795136,0.031314290910330875,0.2557360688018993,0.06796628462923747
GR,2551,109,560,379,0.2195217561740494,0.14856918855350842,94,3.0607870251483793,0.08729706057385707,0.01230975573716455,0.20721200043688484,0.13625943281634387
FI,2202,133,757,378,0.3437783832879201,0.17166212534059946,73,2.8095504556171838,0.11050063135042534,0.01188920083201673,0.3318891824559034,0.15977292450858274
AT,2125,134,686,201,0.32282352941176473,0.09458823529411765,82,3.043114675118613,0.08739017284412955,0.011821002739290059,0.3110025266724747,0.0827672325548276
BE,1974,128,452,146,0.22897669706180346,0.07396149949341439,75,2.877080874782566,0.11188670679128195,0.012684845247161255,0.2162918518146422,0.061276654246253136
IL,1519,66,370,190,0.2435813034891376,0.1250822909809085,69,2.8682649453676428,0.11079169958529696,0.009877357096579865,0.23370394639255773,0.11520493388432865
JP,1489,106,403,159,0.2706514439220954,0.10678307588985897,88,2.9505546323738945,0.11391370715361854,0.012787142386251265,0.2578643015358441,0.0939959335036077
