citing_year,n_citations,scr_any,scr_majority
2000,256,0.61328125,0.30078125
2001,314,0.2611464968152866,0.17834394904458598
2002,187,0.46524064171123,0.3850267379679144
2003,305,0.32131147540983607,0.26885245901639343
2004,208,0.2692307692307692,0.19230769230769232
2005,363,0.3856749311294766,0.36639118457300274
2006,317,0.40063091482649843,0.334384858044164
2007,826,0.35351089588377727,0.23849878934624696
2008,521,0.4107485604606526,0.22072936660268713
2009,472,0.4576271186440678,0.2860169491525424
2010,532,0.29699248120300753,0.2349624060150376
2011,915,0.35737704918032787,0.21530054644808744
2012,1320,0.3212121212121212,0.2446969696969697
2013,1838,0.3416757344940152,0.2823721436343852
2014,2689,0.3101524730383042,0.24023800669393827
2015,3470,0.31930835734870316,0.25619596541786743
2016,3046,0.32961260669730796,0.252462245567958
2017,4170,0.32541966426858515,0.25059952038369304
2018,5854,0.32558934062179706,0.2529894089511445
2019,7193,0.307521201167802,0.21729459196440984
2020,6746,0.3194485621108805,0.21034687222057516
2021,7935,0.2872085696282294,0.1960932577189666
2022,8499,0.28462172020237675,0.19790563595717142
2023,9382,0.2868258367085909,0.20592624173950116
2024,9140,0.2713347921225383,0.1800875273522976
2025,8837,0.2796197804684848,0.1876202331107842
