citing_country,citing_year,n_citations,scr_any,scr_majority
AE,2015,73,0.1643835616438356,0.1232876712328767
AE,2017,2,0,0
AE,2019,4,0,0
AE,2020,13,0.3076923076923077,0
AE,2021,16,0.125,0.125
AE,2023,7,0.42857142857142855,0
AE,2024,106,0.42452830188679247,0.02830188679245283
AE,2025,72,0.4722222222222222,0.05555555555555555
AR,2016,6,0.16666666666666666,0
AR,2017,8,0,0
AR,2018,5,0,0
AR,2019,1,0,0
AR,2020,1,0,0
AR,2021,14,0,0
AR,2022,61,0.22950819672131148,0.03278688524590164
AR,2023,9,0.3333333333333333,0.2222222222222222
AR,2024,5,0.2,0.2
AR,2025,75,0.38666666666666666,0.06666666666666667
AT,2001,11,0.36363636363636365,0.09090909090909091
AT,2003,19,0,0
AT,2006,5,0.4,0.4
AT,2007,12,0.4166666666666667,0.08333333333333333
AT,2008,52,0.28846153846153844,0.038461538461538464
AT,2009,60,0.6666666666666666,0.1
AT,2011,34,0.058823529411764705,0.058823529411764705
AT,2012,7,0.5714285714285714,0
AT,2013,43,0.11627906976744186,0.11627906976744186
AT,2014,106,0.1792452830188679,0.11320754716981132
AT,2015,4,0.75,0.25
AT,2016,98,0.2653061224489796,0.08163265306122448
AT,2017,137,0.24087591240875914,0.029197080291970802
AT,2018,227,0.3568281938325991,0.14537444933920704
AT,2019,135,0.34814814814814815,0.1037037037037037
AT,2020,267,0.5767790262172284,0.12359550561797752
AT,2021,206,0.21359223300970873,0.06796116504854369
AT,2022,106,0.2830188679245283,0.12264150943396226
AT,2023,99,0.21212121212121213,0.13131313131313133
AT,2024,235,0.3404255319148936,0.059574468085106386
AT,2025,241,0.2946058091286307,0.0954356846473029
AU,2000,6,0.3333333333333333,0
AU,2003,27,0.37037037037037035,0.18518518518518517
AU,2005,25,0.2,0.2
AU,2006,2,0.5,0.5
AU,2007,20,0.1,0
AU,2009,55,0.5818181818181818,0
AU,2010,26,0.07692307692307693,0.07692307692307693
AU,2011,75,0.17333333333333334,0.08
AU,2012,44,0.6818181818181818,0.18181818181818182
AU,2013,88,0.2727272727272727,0.19318181818181818
AU,2014,99,0.25252525252525254,0.1111111111111111
AU,2015,89,0.0898876404494382,0.056179775280898875
AU,2016,94,0.4574468085106383,0.1276595744680851
AU,2017,117,0.20512820512820512,0.03418803418803419
AU,2018,302,0.2152317880794702,0.0695364238410596
AU,2019,238,0.2689075630252101,0.07142857142857142
AU,2020,129,0.3023255813953488,0.06201550387596899
AU,2021,223,0.4349775784753363,0.18385650224215247
AU,2022,282,0.40425531914893614,0.0673758865248227
AU,2023,317,0.22082018927444794,0.12302839116719243
AU,2024,236,0.3093220338983051,0.1271186440677966
AU,2025,282,0.19148936170212766,0.08865248226950355
BD,2021,8,0.875,0
BD,2022,28,0,0
BD,2023,53,0.05660377358490566,0.018867924528301886
BD,2025,21,0.14285714285714285,0
BE,2003,4,0.5,0.5
BE,2006,10,0.6,0.1
BE,2007,1,0,0
BE,2008,14,0.21428571428571427,0.21428571428571427
BE,2010,55,0.10909090909090909,0.10909090909090909
BE,2011,18,0.7777777777777778,0.2777777777777778
BE,2012,15,0.26666666666666666,0
BE,2013,146,0.1917808219178082,0.11643835616438356
BE,2014,63,0.2222222222222222,0.1111111111111111
BE,2015,84,0.14285714285714285,0.08333333333333333
