citing_country,AT,AU,BR,CA,CH,CN,DE,ES,FI,FR,GB,IL,IT,NG,NO,PT,RU,SE,US,AE,AF,AR,BD,BE,BH,CL,CO,CZ,DK,EG,GR,HK,HU,ID,IE,IN,IS,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NZ,PH,PK,PL,PS,QA,RO,SA,SG,TJ,TN,TW,ZA,CR,EC,EE,KE,RS,SD,TR,AM,BA,BG,BN,BO,BY,CU,CY,DZ,GH,HR,IR,LI,LT,LV,MA,MC,ML,MN,MU,OM,PE,SI,SK,UA,VE,VN,KH,KW,LK,PF,TH,UY,UZ,ZW,AZ,GE,BI,MK,MM,NP,AO,IQ,SS,SO,GP,GY,KZ,MD,ME,PR,SY,TZ,DO,FJ,GU,CM,AL,BJ,CW,ET,FK,GT,KY,MZ,NA,PG,RW,TT,VA,XK,YE,GL,BS,BW,KG,MQ,UG,CG,SL,PA,SM,VI,JM,MF,MV,RE,SN,TG,BB,GM,LR,MR,ZM,JE,MS,VU,VG,KP,SV,HN,BM,LY,MW,CD,GA,LS,NI
,1,1,2,6,2,3,4,1,3,7,11,1,1,6,1,2,1,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,10,12,3,19,21,9,39,9,7,28,53,3,14,0,3,2,1,7,93,17,1,2,1,12,2,2,1,3,9,2,4,1,3,3,5,2,1,1,5,3,2,2,1,1,5,3,16,2,1,3,1,1,5,1,7,1,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,7,7,3,12,8,10,14,13,4,19,26,2,10,0,1,0,1,2,61,1,0,20,0,4,0,1,2,2,4,0,5,1,1,0,2,1,0,0,1,0,0,1,0,0,4,1,12,2,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,259,66,22,103,82,81,335,112,43,147,344,27,105,0,19,15,17,64,704,6,1,6,2,73,0,7,6,10,39,3,47,21,14,9,55,17,4,0,33,11,0,4,0,2,6,8,158,24,0,4,10,0,4,6,1,9,0,0,9,8,0,2,7,1,0,0,7,1,2,2,1,2,1,1,3,1,2,6,2,1,6,1,1,1,2,1,1,1,2,9,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,40,346,23,162,55,113,176,81,45,107,505,27,101,0,40,20,22,41,1123,3,0,3,3,42,0,5,4,14,38,1,48,38,7,6,42,21,2,7,29,23,1,4,0,0,9,7,121,50,0,8,14,0,3,3,5,27,0,0,23,32,2,0,5,1,1,0,8,0,2,4,0,0,0,1,7,0,2,0,27,0,2,2,0,0,0,1,0,2,1,7,2,2,1,1,2,1,1,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,0,1,0,3,1,0,8,2,1,1,7,0,9,0,0,0,0,0,10,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,5,9,0,5,1,8,5,1,0,20,23,0,1,1,1,0,2,3,26,0,1,0,2,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,37,97,14,152,57,51,216,53,43,127,340,26,70,0,23,7,9,35,770,3,0,1,1,192,1,8,2,6,23,5,35,10,8,2,30,16,4,2,18,12,0,9,0,0,14,6,158,13,3,2,22,0,4,2,3,14,1,2,8,12,2,3,1,3,0,0,4,0,0,2,1,0,0,0,0,0,1,5,3,0,0,1,1,0,0,4,0,0,0,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,2,8,1,5,3,13,12,7,1,7,29,2,15,2,4,6,0,2,43,0,0,0,1,6,0,1,0,4,1,0,10,0,4,0,2,0,1,0,1,2,0,0,0,9,0,2,12,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,3,12,0,0,0,0,2,1,0,1,30,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
