year,n_works,n_no_full_text,n_ft_no_refs,n_with_refs,median_full_text_chars,pct_no_full_text,pct_with_refs
1964,28,28,0,0,NA,100,0
1968,9,9,0,0,NA,100,0
1969,15,15,0,0,NA,100,0
1970,26,26,0,0,NA,100,0
1972,33,33,0,0,NA,100,0
1973,29,29,0,0,NA,100,0
1974,36,36,0,0,NA,100,0
1975,5,5,0,0,NA,100,0
1977,32,32,0,0,NA,100,0
1978,24,24,0,0,NA,100,0
1979,49,49,0,0,NA,100,0
1981,20,20,0,0,NA,100,0
1982,25,25,0,0,NA,100,0
1983,121,121,0,0,NA,100,0
1985,105,105,0,0,NA,100,0
1987,119,119,0,0,NA,100,0
1989,144,144,0,0,NA,100,0
1990,72,72,0,0,NA,100,0
1991,129,129,0,0,NA,100,0
1992,79,79,0,0,NA,100,0
1993,106,106,0,0,NA,100,0
1994,164,164,0,0,NA,100,0
1995,81,81,0,0,NA,100,0
1996,147,30,61,56,8983,20.4,38.1
1997,76,0,49,27,7965,0,35.5
1998,109,27,37,45,9102,24.8,41.3
1999,102,1,54,47,12452,1,46.1
2000,104,2,52,50,7637,1.9,48.1
2001,94,0,48,46,9118,0,48.9
2002,72,0,26,46,20415,0,63.9
2003,83,0,46,37,10211,0,44.6
2004,105,5,45,55,7358,4.8,52.4
2005,139,1,42,96,7834,0.7,69.1
2006,151,0,62,89,8419,0,58.9
2007,106,0,51,55,9296,0,51.9
2008,162,28,46,88,9678,17.3,54.3
2009,176,0,74,102,9262,0,58
2010,142,0,82,60,7753,0,42.3
2011,185,34,50,101,9186,18.4,54.6
2012,196,0,37,159,10000,0,81.1
2013,243,4,59,180,9450,1.6,74.1
2014,408,10,81,317,9243,2.5,77.7
2015,280,12,58,210,15244,4.3,75
2016,614,21,82,511,12074,3.4,83.2
2017,530,32,94,404,9923,6,76.2
2018,670,170,84,416,11393,25.4,62.1
2019,832,265,87,480,13214,31.9,57.7
2020,638,33,481,124,2156,5.2,19.4
2021,154,154,0,0,NA,100,0
2022,634,273,33,328,10327,43.1,51.7
2023,220,220,0,0,NA,100,0
