ref_id,work_id,ref_index,ref_title,ref_authors,ref_year,ref_doi,ref_type,ref_script,ref_lang_cld3,ref_quality
3_a1,3,1,"A region-based approach for Processing Digital Text Resources, Digital Resources for the Humanities",Horton,"1999 Sept. 12-15, 1999",NA,NA,Latin,en,anystyle
3_a2,3,2,SGREP,Jaakkola; Kilpeläinen,NA,NA,NA,Latin,NA,anystyle
6_a1,6,1,Computerized Adaptive Language Testing: Moving Beyond Computer Assisted Testing,Madsen; Larson,1985 1985-03,NA,article-journal,Latin,en,anystyle
6_a2,6,2,S-CAPE: A Spanish Computerized Adaptive Placement Exam,Larson,1989,NA,chapter,Latin,en,anystyle
6_a3,6,3,"Computerized Adaptive Placement Exams in French, German, Russian, and Spanish",Larson,1996 1996,NA,article-journal,Latin,en,anystyle
6_a4,6,4,An Argument for Computer Adaptive Language Testing. Methods and Applications of CALL for Foreign Language Education in Korean Universities,Larson,1996 1996-11-29,NA,paper-conference,Latin,en,anystyle
7_a1,7,1,An evaluation of the Computers in Teaching Initiative and Teaching and Learning Technology Support Network,NA,1998,NA,NA,Latin,en,anystyle
7_a2,7,2,An investigation into the use of electronic resources in the field of Modern Languages,Pine-Coffin,1999,NA,thesis,Latin,en,anystyle
7_a3,7,3,"English literature, electronic text and computer analysis: an impossible combination? Forthcoming in Computers and the Humanities",Warwick,2000,NA,NA,Latin,en,anystyle
8_a1,8,1,The Verb in Contemporary English: Theory and Description,NA,1995,NA,book,Latin,en,anystyle
8_a2,8,2,Corpus Linguistics. Investigating Language Structure and Use,Biber; Conrad; Reppen,1998,NA,book,Latin,la,anystyle
8_a3,8,3,Sublanguage: studies of language in restricted domains,Kittredge; Lehrberger,1982,NA,NA,Latin,en,anystyle
8_a4,8,4,English Verb Classes and Alternations,Levin,1993,NA,book,Latin,en,anystyle
8_a5,8,5,Academic reading skills for L2 learners: Does teaching selective reading help?,Sengupta,1997,NA,paper-conference,Latin,en,anystyle
8_a6,8,6,Acquisition of Language Resources for Special Applications,Sheremetyeva,1998,NA,paper-conference,Latin,en,anystyle
8_a7,8,7,Teaching and large Corpora,NA,1997,NA,book,Latin,en,anystyle
9_a1,9,1,Selecting Resources for a Subject Gateway: Who Decides?,Fraser,1999,NA,paper-conference,Latin,en,anystyle
9_a2,9,2,HUMBUL Updated: Gateway to Humanities Resources on the Web,Stephens,1997,NA,article-journal,Latin,en,anystyle
13_a1,13,1,The Handbook for Focus Group Research,Greenbaum,1997,NA,book,Latin,en,anystyle
13_a2,13,2,Usability Evaluation in Industry,Jordan,1996,NA,book,Latin,en,anystyle
13_a3,13,3,Rapid Development,McConnell,1996,NA,book,Latin,NA,anystyle
13_a4,13,4,"Orlando Project: Issues when Moving from SGML to XML for Delivery of Content-Rich Encoded Text""",Butler; Fisher,1998 Nov 1998,NA,chapter,Latin,en,anystyle
13_a5,13,5,"Can a Team Tag Consistently? Experiences on the Orlando Project""",Butler,1999 1999-06,NA,chapter,Latin,en,anystyle
17_a1,17,1,Foreword,Boyer,1990,NA,chapter,Latin,NA,anystyle
17_a2,17,2,The Mega-Universities and Knowledge Media,Daniel,1996,NA,book,Latin,NA,anystyle
17_a3,17,3,Why Universities Need Technology Strategies,Daniel,1997,NA,NA,Latin,NA,anystyle
