ref_id,work_id,ref_doi,ref_search,ref_quality,openalex_id,oa_title,match_method,confidence
213_r10,213,NA,Oxford English Dictionary 1928,xml_biblstruct,W3037632684,"О ВЛИЯНИИ КИНЕМАТОГРАФА НА ПОПОЛНЕНИЕ СЛОВАРНОГО СОСТАВА СОВРЕМЕННОГО АНГЛИЙСКОГО ЯЗЫКА (НА ПРИМЕРЕ ЛЕКСИЧЕСКИХ ЕДИНИЦ, ВОШЕДШИХ В OXFORD ENGLISH DICTIONARY В 2018 ГОДУ)",offline_title_fuzzy,0.9797701149425287
214_r1,214,NA,Dublin Core Metadata Element Set 1999,xml_biblstruct,W2318014179,〈発表論文〉 Dublin Core Metadata Element Set について : 現在の状況と利用例（「ディジタル図書館」ワークショップ第14回）,offline_title_fuzzy,0.97806949806949806
214_r2,214,NA,Open Archives Initiative,xml_biblstruct,W4362132627,Open Archives Initiative,offline_title_exact,1
214_r4,214,NA,The Open Archives Initiative Protocol for Metadata Harvesting,xml_biblstruct,W7042366220,The Open Archives Initiative Protocol for Metadata Harvesting,offline_title_exact,1
222_r1,222,NA,Adelung Grammatisch-kritisches Wörterbuch der hochdeutschen Mundart 1793-1801,xml_biblstruct,W2491203822,Adelung: Grammatisch-kritisches Wörterbuch der Hochdeutschen Mundart,offline_title_fuzzy,0.974025974025974
222_r5,222,NA,Das große Wörterbuch der deutschen Sprache 1999,xml_biblstruct,W645974451,Das grosse Wörterbuch der deutschen Sprache,offline_title_fuzzy,0.9791666666666666
222_r6,222,NA,Grammatik der deutschen Gegenwartssprache 1998,xml_biblstruct,W4240932185,Grammatik der deutschen Gegenwartssprache,offline_title_fuzzy,0.9782608695652174
259_r9,259,NA,The open source definition 2001,xml_biblstruct,W193479587,The Open Source Definition,offline_title_fuzzy,0.967741935483871
264_r1,264,NA,. Information processing & Management ─ An International Journal 2001,xml_biblstruct,W7001177372,Information processing & management : an international journal,offline_title_fuzzy,0.9841269841269841
268_r12,268,NA,Lindey Plagiarism and Originality 1952,xml_biblstruct,W2937136512,Lindey: Plagiarism and Originality,offline_title_fuzzy,0.9736842105263158
268_r17,268,NA,Project Gutenberg,xml_biblstruct,W6899295430,Project Gutenberg,offline_title_exact,1
268_r24,268,NA,Text Encoding Initiative,xml_biblstruct,W2253757112,Text encoding initiative,offline_title_exact,1
276_r4,276,NA,Encoded Archival Description,xml_biblstruct,W2611205009,Encoded Archival Description,offline_title_exact,1
277_r2,277,NA,Encoded Archival Description,xml_biblstruct,W2611205009,Encoded Archival Description,offline_title_exact,1
277_r3,277,NA,Getty Thesaurus of Geographic Names (TGN),xml_biblstruct,W6940067370,Getty Thesaurus of Geographic Names,offline_title_fuzzy,0.9794871794871794
277_r5,277,NA,Library of Congress Authorities,xml_biblstruct,W7020624994,Library of congress authorities,offline_title_exact,1
277_r8,277,NA,Open Archives Initiative FAQ,xml_biblstruct,W2245105528,Open Archives Initiative,offline_title_fuzzy,0.9714285714285714
282_r4,282,NA,Kohonen Self-Organizing Maps 1995,xml_biblstruct,W3186983384,일반국도 도로특성분류를 위한 통계적 군집분석과 Kohonen Self-Organizing Maps의 비교연구,offline_title_fuzzy,0.9696969696969697
285_r7,285,NA,Kline A Guide to Documentary Editing 1987,xml_biblstruct,W1513968741,"KLINE, A Guide to Documentary Editing",offline_title_fuzzy,0.975609756097561
285_r15,285,NA,Thomas Gray Archive,xml_biblstruct,W7034250006,Thomas Gray Archive,offline_title_exact,1
285_r16,285,NA,Uncle Tom’s Cabin and American Culture,xml_biblstruct,W1981509251,"""Uncle Tom's Cabin"" and American Culture",offline_title_exact,1
292_r5,292,NA,Prosopography of Anglo-Saxon England,xml_biblstruct,W2765860937,Prosopography of Anglo-Saxon England (PASE),offline_title_fuzzy,0.975609756097561
292_r6,292,NA,Prosopography of the Byzantine Empire,xml_biblstruct,W6974033714,Prosopography of the Byzantine Empire (641-867),offline_title_fuzzy,0.9644444444444444
2163_r2,2163,10.1093/llc/fqu002,"Odat, S., Groza, T. and Hunter, J. (2014). Extracting Structured Data from Publications in the Art Conservation Domain. Literary and Linguistic Computing, doi: 10.1093/llc/fqu002.",xml_bibl,W2125184362,Extracting structured data from publications in the Art Conservation Domain,offline_doi,1
