ref_id,work_id,ref_doi,ref_search,oa_title,correct,ref_quality,openalex_id,match_method,confidence
1217_a26,1217,NA,We would like to thank the publishers,We would like to thank the clien,0,anystyle,W7095144952,offline_title_fuzzy,0.949662162162162
529_a14,529,NA,"Diccionario de Uso del Español, Edición en Moliner",Diccionario de uso del español. Ii . H.....Z,0,anystyle,W6990511340,offline_title_fuzzy,0.949637442320369
495_a10,495,NA,The evolution of stylometry in humanities computing Holmes 1998,The Evolution of Stylometry in Humanities Scholarship,0,anystyle,W2118537526,offline_title_fuzzy,0.949629236436166
350_a3,350,NA,La Biblia en la Península Ibérica durante la edad media (siglos XII-XV): el texto y su interpretación Reinhardt 2001,La Biblia en la Península ibérica durante la Edad Media (siglos Xll-XV): el texto y su interpretación. [Reseña],1,anystyle,W401091632,offline_title_fuzzy,0.949608843537415
1717_a6,1717,NA,The Challenges of Digital Scholarship Koh 2012 2012-01-25,The Challenges of Digital Leadership,0,anystyle,W2229075297,offline_title_fuzzy,0.9495904995905
7756_a3,7756,NA,"The Intertextual Web of Johnson's Dictionary and the Concept of Authorship"" McDermott 1994","The Intertextual Web of Johnson's Dictionary and the Concept of Authorship [1994, rptd. 1995, 1996, 2008]",1,anystyle,W1482041471,offline_title_fuzzy,0.94949494949495
1777_a1,1777,NA,No job for Techies: Technical Contribution to Research in the Digital Humanities Bradley 2010,No Job for Techies: Technical Contributions to Research in the Digital Humanities,1,anystyle,W2899214222,offline_title_fuzzy,0.949398734177215
427_a6,427,NA,"Edward Tufte, The Visual Display of Quantitative Information 2001 2001","Edward Tufte, The Visual Display of Quantitative Information, 1983. CSISS Classics",1,anystyle,W861739043,offline_title_fuzzy,0.949367088607595
9850_r7,9850,NA,“Proposal for a Directive of the European Parliament and of the Council on copyright in the Digital Single Market COM/2016/0593” (Copyright Directive / COD). https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52016PC0593,Proposal for a Directive of the European Parliament and of the Council on copyright in the Digital Single Market,1,xml_bibl,W4385369170,offline_title_fuzzy,0.949333333333333
2035_a5,2035,NA,The order of things: an archaeology of the human sciences [Mots et les choses Foucault 1970,The order of things an archaeology of the human sciences,1,anystyle,W1488111828,offline_title_fuzzy,0.949333333333333
351_a3,351,NA,Towards a phonology of conversation turn-taking in Local; Kelly; Wells 1986,Towards a phonology of conversation: turn-taking in Tyneside English,1,anystyle,W2162060208,offline_title_fuzzy,0.949253731343284
1067_a17,1067,NA,"Corpus Linguistics, Computer Tools, and Applications","Corpus Linguistics, Computer Tools, and Applications - State of the Art",1,anystyle,W2536442256,offline_title_fuzzy,0.949253731343284
1380_a5,1380,NA,"""Quivering web of living thought:"" Conceptual networks in Swinburne's Songs of the Springtides Swinburne and the singing word Walsh; C 2010",“Quivering Web of Living Thought”: Conceptual Networks in Swinburne’s Songs of the Springtides,1,anystyle,W4250366719,offline_title_fuzzy,0.949180327868852
1944_a5,1944,NA,The Archaeology of Knowledge & The Discourse on Language Foucault 1982,"The archaeology of knowledge ; and, The discourse on language",1,anystyle,W1592182057,offline_title_fuzzy,0.949169859514687
865_a15,865,NA,An Evaluation of Text-Classifi cation Methods for Yu 2007,An Evaluation of Text Classific ation Methods for Literary Study,1,anystyle,W2187171865,offline_title_fuzzy,0.949043367346939
1833_a7,1833,NA,"Keyboard Behavior Based Authentication for Security"" 2013 2013-06-18",Keyboard-Behavior-Based Authentication,1,anystyle,W2032390994,offline_title_fuzzy,0.949019607843137
3772_a8,3772,NA,"The Historical Thesaurus of English, version 4.2 2016",The historical thesaurus of English,1,anystyle,W7010512156,offline_title_fuzzy,0.948936170212766
1454_a1,1454,NA,Explorative visualization and analysis of a social network for arts Buter; Dijkshoorn; Modolo; Nguyen; Noort; Poel; Salah; Salah 2011,Explorative visualization and analysis of a social network for arts: the case of deviantART,1,anystyle,W2138850006,offline_title_fuzzy,0.948888888888889
1995_a11,1995,NA,James Joyce’s Dublin: A Topographical Guide to the Dublin of Ulysses: with 121 Illustrations Gunn; Hart; Beck 2004,James Joyce's Dublin: A Topographical Guide to the Dublin of Ulysses,1,anystyle,W581883242,offline_title_fuzzy,0.948888888888889
319_a10,319,NA,Metadata for Digital Preservation: The CEDARS Project Outline Specification Online Project 2000-03,METADATA FOR DIGITAL PRESERVATION THE CEDARS PROJECT OUTLINE SPECIFICATION DRAFT FOR PUBLIC CONSULTATION,1,anystyle,W7098484420,offline_title_fuzzy,0.948877018043685
527_a3,527,NA,The Tibetan and Himalayan Digital Library,The Tibetan and Himalayan Library,0,anystyle,W1552036924,offline_title_fuzzy,0.948854397634885
1223_a16,1223,NA,The New Review of Hypermedia and,The New Review of Hypermedia and Multimedia,1,anystyle,W2256001706,offline_title_fuzzy,0.948837209302326
1999_a16,1999,NA,"Konkordanz zum hebräischen Alten Testament, nach dem von Paul Kahle in der Biblia Hebraica edidit R. Kittel besorgten masoretischen Text Lisowsky 1958",Konkordanz zum hebräischen Alten Testament : nach dem von PaulKahle in der Biblia Hebraica edidit Rudolf Kittel besorgtenMasoretischen Text,1,anystyle,W2748692849,offline_title_fuzzy,0.948806564391051
905_a30,905,NA,Affective and Emotional Aspects of Human-Computer Interaction,Affective and emotional aspects of human‐computer interaction – Edited by Maja Pivec,1,anystyle,W2001637523,offline_title_fuzzy,0.948780487804878
1242_a80,1242,NA,"Indian Epigraphy, its Bearing on Art History",Indian epigraphy its bearing on the history of art,1,anystyle,W7079208598,offline_title_fuzzy,0.948744186046512
2448_r6,2448,NA,EVT (Edition Visualization Technology). http://sourceforge.net/projects/evt-project/ (accessed 29 February 2016).,EVT - Edition Visualization Technology 2 (v. beta 2),1,xml_bibl,W7009815759,offline_title_fuzzy,0.948726323856794
750_a42,750,NA,• Text Analysis Portal for Research (TAPoR) Project <htt p://www.tapor.ca/>,Text Analysis Portal for Research (TAPoR) Archive,1,anystyle,W6940510207,offline_title_fuzzy,0.948726323856794
