work_id,openalex_id,ref_quality,confidence,cited_countries,cited_year
2163,W2125184362,xml_bibl,1,AU,2014
2169,W2028701196,xml_bibl,1,BE,2013
2174,W2151419531,xml_bibl,1,US,2014
2174,W2076133778,xml_bibl,1,IE,2010
2176,W2028515682,xml_bibl,1,CA,2013
2176,W2007844326,xml_bibl,1,CA,2013
2178,W1992031850,xml_bibl,1,US,1964
2178,W2067488172,xml_bibl,1,IR,2010
2178,W2048374711,xml_bibl,1,US,2001
2178,W1484485089,xml_bibl,1,US,2007
2186,W1637997352,xml_bibl,1,NL,2013
2186,W2008811452,xml_bibl,1,NL,2013
2186,W1965295228,xml_bibl,1,US,2013
2186,W2070528724,xml_bibl,1,DE;IE;NL,2014
2190,W950355994,xml_bibl,1,GB,2013
2190,W2103707024,xml_bibl,1,GB,2007
2194,W2099926525,xml_bibl,1,CN,2013
2194,W204723148,xml_bibl,1,AU;GB,2011
2194,W2026743036,xml_bibl,1,GR,2007
2194,W1968107352,xml_bibl,1,AT,2010
2194,W1576693970,xml_bibl,1,ES;GB;IT,2011
2194,W2130675236,xml_bibl,1,US,2003
2206,W2136701143,xml_bibl,1,GB;US,2014
2216,W1981080848,xml_bibl,1,GB,2008
2226,W2322004164,xml_bibl,1,ID;KR,2014
2231,W2160133849,xml_bibl,1,CA;NL,2012
2231,W2130883452,xml_bibl,1,US,2013
2238,W2036699209,xml_bibl,1,GB,2013
2247,W2037802158,xml_doi_only,1,US,2006
2247,W2128554541,xml_doi_only,1,BR,2006
2249,W2026743036,xml_bibl,1,GR,2007
2258,W2043514803,xml_bibl,1,DE,2013
2263,W2058071972,xml_bibl,1,BE;DE;NL,2014
2265,W2076771101,xml_bibl,1,MX,2014
2269,W4255530568,xml_bibl,1,US,1967
2269,W2020781346,xml_bibl,1,US,2007
2276,W2095023851,xml_bibl,1,US,2011
2282,W1581231885,xml_bibl,1,RS,2011
2282,W2019096529,xml_bibl,1,US,2010
2282,W2081749411,xml_bibl,1,FR,2003
2291,W2133109597,xml_doi_only,1,US,1995
2297,W2044360356,xml_bibl,1,US,2014
2302,W2098684637,xml_bibl,1,CH;NO,2012
2306,W2318971084,xml_bibl,1,ES,2013
2306,W1605799775,xml_bibl,1,US,2013
2309,W2059837179,xml_bibl,1,US,1988
2317,W2130883452,xml_bibl,1,US,2013
2327,W1970166914,xml_bibl,1,US,2014
2346,W1971670344,xml_bibl,1,US,1989
2348,W1966596976,xml_bibl,1,AU,2014
2348,W2038534832,xml_bibl,1,AU,2012
2350,W2104652891,xml_doi_only,1,IN;US,2011
2357,W2017737388,xml_bibl,1,US,2013
2364,W1970948046,xml_bibl,1,PL,2013
2367,W1989925373,xml_bibl,1,IE;US,2014
2372,W2070821333,xml_bibl,1,CA;CN;DE;DK;GB;JP;US,2011
2376,W2076771101,xml_bibl,1,MX,2014
2376,W3139092757,xml_bibl,1,US,2007
2380,W1962895639,xml_doi_only,1,BR,2013
2380,W1518804275,xml_doi_only,1,US,2013
2380,W2106684638,xml_doi_only,1,CA,2012
2380,W2321813347,xml_doi_only,1,US,2013
2380,W2083084326,xml_doi_only,1,SI,2013
2380,W2122138403,xml_doi_only,1,IT,2009
2380,W2130595888,xml_doi_only,1,CN,2009
2380,W1810848165,xml_doi_only,1,US,2013
2380,W2130831177,xml_doi_only,1,CN,2007
2380,W2044624726,xml_doi_only,1,US,2013
2380,W1975107573,xml_doi_only,1,US,2012
2381,W2095655043,xml_bibl,1,US,2013
2382,W2058925554,xml_bibl,1,US,2010
2382,W2054642852,xml_bibl,1,CA,2010
2382,W1993655898,xml_bibl,1,GB,2010
2382,W1576951148,xml_bibl,1,GB,1998
2385,W2281816568,xml_bibl,1,IL;US,2013
2385,W1981080848,xml_bibl,1,GB,2008
2385,W2095885230,xml_bibl,1,US,2008
2391,W4255671361,xml_bibl,1,PL,2015
2394,W2074909580,xml_bibl,1,US,2011
2399,W1508023352,xml_bibl,1,US,2011
2409,W1999797504,xml_bibl,1,AU,2014
2409,W1994134586,xml_bibl,1,US,2011
2411,W2058071972,xml_bibl,1,BE;DE;NL,2014
2419,W2000064955,xml_bibl,1,FR,2014
2422,W1687036045,xml_bibl,1,SG;US,2016
2425,W2155045631,xml_bibl,1,CN;US,2013
2426,W2110510858,xml_bibl,1,CH,2014
2426,W2058071972,xml_bibl,1,BE;DE;NL,2014
2431,W90672828,xml_bibl,1,US,2014
2439,W2002321516,xml_bibl,1,IN,2014
2441,W6962590642,xml_bibl,1,NL,2015
2443,W2174706414,xml_bibl,1,US,2012
2449,W2076372637,xml_bibl,1,CH;GB,2008
2449,W2052548158,xml_bibl,1,IT;UZ,2013
2449,W164199402,xml_bibl,1,FR,2014
2449,W1653451018,xml_bibl,1,GB;GH,2015
2449,W2020278455,xml_bibl,1,CA;US,2007
2449,W2032464653,xml_bibl,1,BE;ES,2013
2457,W1986937683,xml_bibl,1,US,2013
2468,W1991735731,xml_bibl,1,US,2011
2470,W2153895776,xml_bibl,1,CH;US,2014
2473,W1999937992,xml_bibl,1,US,2012
2473,W1987126818,xml_bibl,1,US,2014
2481,W2106787459,xml_bibl,1,US,2013
2481,W2171855813,xml_bibl,1,IT;RO,2014
2481,W1610478983,xml_bibl,1,AT,2012
2481,W2047551361,xml_bibl,1,IT,2014
2481,W2075602961,xml_bibl,1,DE;DK;FR;GB;US,2013
2481,W2102516547,xml_bibl,1,GB,2012
2481,W2020956012,xml_bibl,1,DE,2000
2481,W2171674491,xml_bibl,1,AU,2010
2481,W1999797504,xml_bibl,1,AU,2014
2481,W2031827150,xml_bibl,1,AT;IE;IT,2014
2488,W2555162864,xml_bibl,0.9628865979381442,GB,2015
2490,W1970948046,xml_bibl,1,PL,2013
2491,W2100290037,xml_bibl,1,GB,2015
2491,W2158452868,xml_bibl,1,GB,2010
2507,W2081514874,xml_bibl,1,US,2007
2507,W2146793826,xml_bibl,1,PL,2011
2507,W2040162312,xml_bibl,1,US,2004
2507,W2092743872,xml_bibl,1,DE;GB,2011
2519,W2028695285,xml_bibl,1,FR,2014
2519,W2138621811,xml_bibl,1,US,1999
2521,W2174706414,xml_bibl,1,US,2012
2521,W1988361130,xml_bibl,1,US,2013
2521,W2071198821,xml_bibl,1,US,2013
2523,W1821655122,xml_bibl,1,IT,2014
