id,publication_year,countries_str
W2132685610,2009,NA
W1748368049,2011,NA
W2500169358,2009,NA
W20615918,1991,NA
W98743080,2005,NA
W24341263,2005,NA
W39032255,1988,NA
W35565264,1999,NA
W22447144,2001,GB
W19403788,2009,NA
W30941674,2003,NA
W4472213,2002,NA
W22702538,2000,GB
W24756151,1967,NA
W34057406,2005,NA
W32879520,2007,NA
W9633081,2009,NA
W2457143,2001,GB
W7542544,2008,NA
W2557826,1997,NA
W7383015,1999,NA
W12113095,2001,NA
W31572222,2012,NA
W27431698,2004,NA
W24912070,2003,US
W6319482,1997,NA
W10729201,2002,NA
W8699629,1980,NA
W9394277,1996,NA
W16893199,2012,NA
W1199894,2004,NA
W11540594,2007,US
W23944679,1995,NA
W32434556,1995,NA
W24495263,2010,NA
W7744360,2010,NA
W10734482,1996,NA
W14903747,2010,DE
W8437397,1984,KR
W29482179,2012,IT;US
W7102852,1988,CA
W2098422045,2011,GB
W565003440,2002,NA
W3150690765,2012,NA
W1928727784,2001,NA
W1563687503,1935,NA
W1891753606,2006,NA
W2588373451,2013,NA
W400437270,1995,NA
W600962884,1990,NA
W2372127301,2004,NA
W2300264879,2005,NA
W3085466263,2008,NA
W3022908595,1999,NA
W50539638,2000,NA
W1873218394,2011,NA
W3185765745,2002,NA
W7039947230,2014,NA
W142223063,2007,NA
W3203463779,2019,NA
W1830599948,2001,US
W3106973,2008,NA
W2950642250,2017,NA
W2995719621,2018,NA
W2997195443,1993,NA
W170722954,2002,NA
W433166361,2012,NA
W1547626966,2012,NA
W2360784591,1986,NA
W2103129828,2012,US
W2113459411,2011,US
W93109923,1997,NA
W1940278502,1993,US
W1946910233,2004,NA
W111340424,2002,NA
W642033619,1992,NA
W2339191583,2003,US
W1501161035,2007,NA
W1581575783,2012,NA
W363048305,2011,NA
W1491439948,1992,NA
W1558807800,2009,NA
W641308992,2011,NA
W2894005906,2011,NA
W2886247393,2012,NA
W47476548,2005,NA
W2893604549,2011,NA
W2167788171,2010,DE
W135218250,2002,NA
W119388172,1990,NA
W2109730238,1997,GB
W2894362637,2011,NA
W2886790289,2013,NA
