citing_country,CH,US,AR,BR,CA,DE,ES,GB,IT,MX,NO,PT,SE,AT,AU,BE,CM,CN,EG,FR,GR,HK,HU,IE,IN,JP,MN,NL,RU,SA,CZ,DK,EE,FI,ID,KH,KR,NZ,SI,BD,IR,MY,IL,MA,PL,QA,GH,RS,BG,CU,JM,NG,PE,PK,TR,TW,CL,LU,BA,CO,CY,EC,SG,SK,ZA,IS,UA,RO,UZ,MT,PR,TH,GU,LT,UG,HR,PH,AE,DZ,AM,MK,PS
AE,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,9,2,1,1,1,4,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,7,30,1,3,3,23,6,20,4,0,1,1,3,16,3,3,1,3,1,4,1,1,3,1,2,1,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,0,62,1,1,9,8,0,22,2,0,0,0,1,0,17,0,0,4,0,2,1,0,0,1,2,1,0,2,1,0,1,3,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,1,36,1,1,6,6,1,12,3,1,2,0,2,0,5,9,0,2,0,4,1,0,0,3,0,0,0,8,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,1,8,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6,252,0,1,107,23,6,96,12,4,1,4,4,2,21,4,0,7,0,37,5,2,2,7,2,3,0,15,1,0,1,3,2,4,0,0,2,3,0,0,0,0,2,0,3,0,0,0,3,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,35,53,0,0,4,23,3,18,7,2,1,0,2,2,4,4,0,1,0,18,0,1,0,0,1,2,0,12,0,0,2,0,0,0,0,0,0,0,1,1,1,0,4,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
