citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
US,1508,560,980,766,0.649867374005305,0.5079575596816976,59,2.0835221620298356,0.3046835777513542,0.3451473315474964,0.30472004245780865,0.16281022813420126,1.8828694722673107,1.4717122609762858,TRUE,16.409758983288835,0
DE,737,244,295,202,0.40027137042062416,0.27408412483039346,49,2.546619295134389,0.1538571492663607,0.10138058932618998,0.2988907810944342,0.17270353550420348,3.9482052045757907,2.703516784150202,TRUE,25.833974296608496,0
GB,643,248,307,175,0.4774494556765163,0.27216174183514774,48,2.3288021066385407,0.19601193084817603,0.12466515557387184,0.3527843001026445,0.1474965862612759,3.8298548899142704,2.183142038224747,TRUE,21.586876457500292,0
CA,552,198,180,82,0.32608695652173914,0.14855072463768115,41,2.239701658322828,0.20273460737656157,0.056665979806305375,0.26942097671543375,0.09188474483137578,5.754545454545455,2.6215151515151516,TRUE,23.588778977991545,0
NL,345,114,152,79,0.44057971014492753,0.2289855072463768,37,2.479259506313616,0.14418770262926106,0.045950958170204,0.3946287519747235,0.1830345490761728,9.588041853512706,4.983258594917788,TRUE,31.064238954461953,0
FR,217,86,87,55,0.4009216589861751,0.2534562211981567,32,2.5012731321828228,0.13350661625708884,0.046981248712136825,0.3539404102740383,0.20647497248601987,8.533652680087314,5.394837901204625,TRUE,22.339119004274277,0
IT,211,67,79,41,0.3744075829383886,0.1943127962085308,34,2.7306367405164558,0.10641771247831855,0.026787554090253452,0.34762002884813514,0.16752524211827735,13.976923076923075,7.253846153846154,TRUE,26.51550124662916,0
CH,171,52,53,26,0.30994152046783624,0.15204678362573099,30,2.5159963820504068,0.12735761834319526,0.017514939212858027,0.2924265812549782,0.13453184441287297,17.695837633298932,8.680976952184382,TRUE,24.936373939363477,0
PL,152,41,35,22,0.23026315789473684,0.14473684210526316,29,2.427169182660539,0.16218514188542882,0.006799917576756645,0.2234632403179802,0.13793692452850653,33.86263955342903,21.285087719298247,TRUE,23.893405651696128,0
JP,127,47,25,17,0.1968503937007874,0.13385826771653545,28,2.7402567980856185,0.09647919524462734,0.01195137028642077,0.18489902341436665,0.12190689743011468,16.47094759706761,11.200244366005975,TRUE,17.798162777832047,0
AU,120,46,32,14,0.26666666666666666,0.11666666666666667,26,2.169685461789144,0.2144888888888889,0.02761178652379971,0.23905488014286697,0.08905488014286696,9.65771144278607,4.225248756218906,TRUE,12.65935109916653,0
IE,101,49,30,6,0.297029702970297,0.0594059405940594,24,2.4605608358577653,0.13932548351004315,0.00906655676900886,0.28796314620128816,0.05033938382505054,32.76102610261026,6.552205220522052,TRUE,31.226157261761035,0
