venue_series,citing_year,n_citations,scr_any,scr_majority
ADHO-global,2007,59,0.5423728813559322,0.4915254237288136
ADHO-global,2008,120,0.4,0.38333333333333336
ADHO-global,2009,133,0.37593984962406013,0.37593984962406013
ADHO-global,2010,41,0.3902439024390244,0.34146341463414637
ADHO-global,2011,196,0.42346938775510207,0.33163265306122447
ADHO-global,2012,395,0.3949367088607595,0.30632911392405066
ADHO-global,2013,472,0.4724576271186441,0.3898305084745763
ADHO-global,2014,666,0.4144144144144144,0.3303303303303303
ADHO-global,2015,84,0.32142857142857145,0.19047619047619047
ADHO-global,2016,180,0.3888888888888889,0.28888888888888886
ADHO-global,2017,708,0.4067796610169492,0.3290960451977401
ADHO-global,2018,174,0.5057471264367817,0.3160919540229885
ADHO-global,2019,274,0.3978102189781022,0.2664233576642336
ADHO-global,2022,333,0.43243243243243246,0.3813813813813814
DHd,2016,24,0.2916666666666667,0.2916666666666667
DHd,2017,35,0.37142857142857144,0.34285714285714286
DHd,2018,89,0.3707865168539326,0.29213483146067415
DHd,2019,93,0.43010752688172044,0.3763440860215054
DHd,2020,90,0.4444444444444444,0.3888888888888889
