citing_country,citing_year,n_citations,scr_any,scr_majority
AE,2019,3,0,0
AR,2014,3,0,0
AR,2016,2,0,0
AR,2017,7,0.5714285714285714,0.2857142857142857
AR,2018,5,0.8,0
AR,2019,1,1,0
AR,2022,2,0,0
AT,2012,10,0.4,0.1
AT,2013,2,0,0
AT,2014,14,0.2857142857142857,0.07142857142857142
AT,2016,2,1,0.5
AT,2017,26,0.38461538461538464,0.038461538461538464
AT,2018,18,0.5555555555555556,0.1111111111111111
AT,2019,29,0.5862068965517241,0.3793103448275862
AT,2020,10,0.4,0.2
AT,2022,18,0.3888888888888889,0.1111111111111111
AU,2007,2,0,0
AU,2008,3,0,0
AU,2009,6,0,0
AU,2010,1,0,0
AU,2011,4,1,0.5
AU,2012,2,0.5,0.5
AU,2013,25,0.12,0.08
AU,2014,13,0.46153846153846156,0.15384615384615385
AU,2015,20,0.4,0.15
AU,2016,3,0.6666666666666666,0.3333333333333333
AU,2017,6,0.5,0.16666666666666666
AU,2018,4,0,0
AU,2019,10,0.2,0
BD,2013,2,0.5,0.5
BE,2008,3,0.3333333333333333,0
BE,2012,9,0.2222222222222222,0.1111111111111111
BE,2013,17,0.29411764705882354,0
BE,2014,20,0.25,0.05
BE,2015,3,0.3333333333333333,0.3333333333333333
BE,2016,2,0,0
BE,2017,13,0.5384615384615384,0.15384615384615385
BE,2018,4,0,0
BE,2019,2,1,0
BE,2022,12,0.3333333333333333,0
BR,2014,1,1,0
BR,2017,7,0,0
CA,2007,3,0.6666666666666666,0.3333333333333333
CA,2008,29,0.10344827586206896,0.10344827586206896
CA,2009,10,0.1,0.1
CA,2010,12,0.3333333333333333,0.25
CA,2011,41,0.3902439024390244,0.12195121951219512
CA,2012,36,0.3611111111111111,0.1388888888888889
CA,2013,73,0.3561643835616438,0.1917808219178082
CA,2014,73,0.2876712328767123,0.0547945205479452
CA,2015,20,0.2,0.1
CA,2016,11,0.36363636363636365,0.2727272727272727
CA,2017,78,0.3717948717948718,0.15384615384615385
CA,2018,12,0.6666666666666666,0.08333333333333333
CA,2019,30,0.5,0.2
