citing_year,n_citations,scr_any,scr_majority
2007,59,0.5423728813559322,0.4915254237288136
2008,120,0.4,0.38333333333333336
2009,133,0.37593984962406013,0.37593984962406013
2010,41,0.3902439024390244,0.34146341463414637
2011,196,0.42346938775510207,0.33163265306122447
2012,395,0.3949367088607595,0.30632911392405066
2013,472,0.4724576271186441,0.3898305084745763
2014,666,0.4144144144144144,0.3303303303303303
2015,84,0.32142857142857145,0.19047619047619047
2016,204,0.37745098039215685,0.28921568627450983
2017,743,0.40511440107671604,0.3297442799461642
2018,263,0.4600760456273764,0.30798479087452474
2019,367,0.40599455040871935,0.29427792915531337
2020,90,0.4444444444444444,0.3888888888888889
2022,333,0.43243243243243246,0.3813813813813814
